time,Piezo,Touch,Touch,Touch,Accel,Accel,Accel,Gyro,Gyro,Gyro,Temp
1409765576.92,128.0,990.0,1204.0,1067.0,0.0785,-2.432,-9.3359,-0.0362,0.0005,0.0005,23.61
1409765576.93,141.0,981.0,1191.0,1082.0,0.0785,-2.432,-9.2967,-0.0394,-0.0005,-0.0017,23.61
1409765576.95,146.0,986.0,1193.0,1067.0,0.0392,-2.4713,-9.3752,-0.0415,-0.0021,-0.0043,23.61
1409765576.96,124.0,984.0,1181.0,1080.0,0.0,-2.3928,-9.3752,-0.0383,0.0006,-0.0011,23.61
1409765576.97,106.0,984.0,1198.0,1077.0,0.0392,-2.4713,-9.2967,-0.0373,0.0011,-0.0014,23.61
1409765576.99,156.0,991.0,1197.0,1079.0,0.0392,-2.4713,-9.2967,-0.0363,0.0002,-0.0058,23.61
1409765577.0,141.0,991.0,1202.0,1085.0,0.0392,-2.3928,-9.4144,-0.0368,0.0009,-0.0057,23.59
1409765577.02,125.0,997.0,1194.0,1075.0,0.0392,-2.432,-9.2967,-0.0391,-0.0014,-0.006,23.61
1409765577.03,128.0,991.0,1204.0,1080.0,0.0,-2.4713,-9.4144,-0.0363,0.0005,-0.0018,23.61
1409765577.04,157.0,982.0,1201.0,1085.0,0.0392,-2.432,-9.4144,-0.0376,-0.0012,-0.0027,23.61
1409765577.06,133.0,994.0,1202.0,1077.0,0.0785,-2.4713,-9.3359,-0.0347,0.0015,-0.0026,23.61
1409765577.07,126.0,988.0,1199.0,1083.0,0.0785,-2.432,-9.3359,-0.0376,-0.0017,-0.0024,23.61
1409765577.09,134.0,984.0,1185.0,1088.0,0.0785,-2.4713,-9.4144,-0.0397,0.0,0.0021,23.61
1409765577.1,165.0,982.0,1192.0,1083.0,0.0785,-2.432,-9.2967,-0.0344,-0.0037,-0.0035,23.61
1409765577.11,127.0,985.0,1209.0,1082.0,0.0392,-2.4713,-9.2183,-0.0392,0.0008,-0.0047,23.61
1409765577.13,148.0,992.0,1206.0,1073.0,-0.0392,-2.5105,-9.4144,-0.0353,0.0015,-0.0023,23.61
1409765577.14,170.0,987.0,1209.0,1079.0,0.0392,-2.432,-9.3752,-0.0376,0.0029,-0.0008,23.61
1409765577.16,139.0,985.0,1199.0,1077.0,0.0785,-2.432,-9.3359,-0.0388,-0.0005,0.0021,23.61
1409765577.17,118.0,984.0,1205.0,1090.0,0.0785,-2.4713,-9.4144,-0.0348,0.0008,-0.002,23.61
1409765577.18,165.0,985.0,1191.0,1084.0,0.0392,-2.4713,-9.3359,-0.0368,0.0018,-0.0017,23.61
